CLAVEALUMNO,MEAN_IMPKDE_Z,VISITAS,n_student_classroom_observations,n_unique_classroom_units,n_unique_professors,n_unique_subject_variants,n_unique_years,mean_raw_grade_numeric,mean_impmean,mean_impkde,mean_impkde_z
164270,0.8191722887304271,2,3,3,3,3,1,9.366666666666667,9.366666666666667,9.366666666666667,0.8191722887304271
164301,0.9982111204381056,2,3,3,3,3,1,9.700000000000001,9.700000000000001,9.700000000000001,0.9982111204381056
164433,0.15064266980977642,2,4,4,4,4,2,8.075,8.075,8.075,0.15064266980977642
164436,0.13873838139977415,2,5,5,4,3,2,8.3,7.974285714285715,7.94,0.13873838139977415
164444,-0.9236591902291532,2,2,2,2,1,2,10.0,7.977272727272727,5.05,-0.9236591902291532
164460,-0.7621757890398657,2,5,5,3,4,2,8.875,8.573333333333334,8.52,-0.7621757890398657
164466,-0.14065834382466724,2,2,2,2,2,1,8.5,8.5,8.5,-0.14065834382466724
164475,0.5812779174210665,2,2,2,2,2,2,9.600000000000001,9.600000000000001,9.600000000000001,0.5812779174210665
164492,-1.002497393639108,2,2,2,2,1,2,1.3,3.442857142857143,3.3,-1.002497393639108
164509,-0.46995072923179393,2,5,5,5,3,2,8.133333333333333,7.250588235294117,6.34,-0.46995072923179393
164538,-0.7275353440271028,2,2,2,2,1,2,10.0,7.977272727272727,5.55,-0.7275353440271028
164589,0.9496578571617558,2,2,2,2,2,1,8.65,8.65,8.65,0.9496578571617558
165096,0.4666101736211214,2,4,4,3,4,2,9.350000000000001,9.350000000000001,9.350000000000001,0.4666101736211214
165110,0.5872173500309492,2,4,4,4,4,2,9.775,9.775,9.775,0.5872173500309492
165249,0.4548690335108046,2,3,3,3,3,1,7.833333333333333,7.833333333333333,7.833333333333333,0.4548690335108046
165274,0.4036605844019226,2,4,4,4,4,3,8.75,8.75,8.75,0.4036605844019226
165275,0.5580487666008187,2,1,1,1,1,1,,3.188888888888889,6.8,0.5580487666008187
165277,-0.059532762651482184,2,3,3,3,3,2,8.433333333333334,8.433333333333334,8.433333333333334,-0.059532762651482184
165301,0.3819549478778301,2,1,1,1,1,1,10.0,10.0,10.0,0.3819549478778301
165336,-0.16199178929209157,2,2,2,2,1,2,7.5,7.5,7.5,-0.16199178929209157
165364,0.4902351138591504,2,1,1,1,1,1,8.3,8.3,8.3,0.4902351138591504
165371,0.05804972852127557,2,4,4,4,3,2,9.200000000000001,7.507692307692308,7.2,0.05804972852127557
165411,0.43781153318718463,2,1,1,1,1,1,9.0,9.0,9.0,0.43781153318718463
165566,0.4838795010116614,2,3,3,3,3,2,9.466666666666667,9.466666666666667,9.466666666666667,0.4838795010116614
165579,0.9257138839742437,2,3,3,1,3,2,10.0,10.0,10.0,0.9257138839742437
165826,-0.011831333822439357,2,3,3,2,3,2,8.166666666666666,8.166666666666666,8.166666666666666,-0.011831333822439357
165849,-0.0747874791117712,2,3,3,3,2,2,9.1,7.733333333333333,6.066666666666666,-0.0747874791117712
165869,0.3868510843410035,2,5,5,5,5,3,9.5,9.5,9.5,0.3868510843410035
165904,0.6372938736299991,2,2,2,2,2,2,9.1,9.1,9.1,0.6372938736299991
165935,-1.6300882784285795,2,9,9,7,4,4,4.283333333333333,4.833641975308642,4.111111111111111,-1.6300882784285795
165962,-0.5039032229514883,2,3,3,3,3,3,8.333333333333334,8.333333333333334,8.333333333333334,-0.5039032229514883
165967,0.49750548712604514,2,3,3,3,3,2,9.333333333333334,9.333333333333334,9.333333333333334,0.49750548712604514
166066,0.5968602542278418,2,1,1,1,1,1,9.3,9.3,9.3,0.5968602542278418
166172,0.6685642735093507,2,1,1,1,1,1,7.8,7.8,7.8,0.6685642735093507
166181,0.8698685485898083,2,4,4,4,4,2,9.875,9.875,9.875,0.8698685485898083
166208,1.0371705630122332,2,3,3,1,3,2,9.766666666666667,9.766666666666667,9.766666666666667,1.0371705630122332
166259,0.8404002146938107,2,4,4,4,4,2,10.0,10.0,10.0,0.8404002146938107
166286,-0.18226353596189632,2,4,4,4,3,3,9.033333333333333,8.435714285714285,8.0,-0.18226353596189632
166347,-0.5537576884957478,2,3,3,3,2,2,8.95,7.44047619047619,5.966666666666666,-0.5537576884957478
166354,0.056146684735307706,2,3,3,3,3,3,7.8999999999999995,7.8999999999999995,7.8999999999999995,0.056146684735307706
166423,-2.0673736852861686,2,3,3,3,1,2,4.7,4.536666666666666,3.466666666666667,-2.0673736852861686
166478,-0.8518419229345134,2,6,6,5,4,4,7.76,6.5055555555555555,6.483333333333333,-0.8518419229345134
166518,0.8619414559622699,2,1,1,1,1,1,9.8,9.8,9.8,0.8619414559622699
166560,0.4639732300923334,2,3,3,3,3,2,8.566666666666666,8.566666666666666,8.566666666666666,0.4639732300923334
166571,0.602084842039174,2,2,2,2,2,2,9.05,9.05,9.05,0.602084842039174
166578,0.6265543830100047,2,4,4,4,4,2,9.925,9.925,9.925,0.6265543830100047
166584,0.6520286099125737,2,1,1,1,1,1,8.7,8.7,8.7,0.6520286099125737
166589,-0.26239146599507207,2,3,3,3,3,2,8.333333333333334,8.333333333333334,8.333333333333334,-0.26239146599507207
166715,-0.49916529401864396,2,4,4,4,4,2,8.15,8.15,8.15,-0.49916529401864396
166738,0.7467786143750714,2,1,1,1,1,1,8.7,8.7,8.7,0.7467786143750714
166777,0.1739981935631718,2,2,2,2,2,2,8.5,8.5,8.5,0.1739981935631718
166815,0.6680243539548962,2,1,1,1,1,1,10.0,10.0,10.0,0.6680243539548962
166839,0.222342196898777,2,2,2,2,2,2,9.05,9.05,9.05,0.222342196898777
166856,0.6548569907883317,2,4,4,3,4,2,9.55,9.55,9.55,0.6548569907883317
166892,-0.692249761164429,2,3,3,3,3,2,8.9,8.0625,8.333333333333334,-0.692249761164429
166908,0.26984112431844687,2,2,2,2,2,2,8.850000000000001,8.850000000000001,8.850000000000001,0.26984112431844687
166915,0.9120197959456549,2,4,4,4,4,2,9.8,9.8,9.8,0.9120197959456549
166949,0.7888104540237035,2,4,4,3,4,2,9.875,9.875,9.875,0.7888104540237035
167024,-0.5367697251071748,2,6,6,5,4,3,8.95,7.600476190476191,6.6499999999999995,-0.5367697251071748
167042,-0.35524455963299806,2,4,4,4,4,2,8.649999999999999,8.649999999999999,8.649999999999999,-0.35524455963299806
167107,0.5296923617780511,2,3,3,3,3,3,9.733333333333334,9.733333333333334,9.733333333333334,0.5296923617780511
167138,0.6728052509052894,2,4,4,4,4,2,9.475,9.475,9.475,0.6728052509052894
167153,0.8809655598413522,2,3,3,3,3,2,9.933333333333334,9.933333333333334,9.933333333333334,0.8809655598413522
167195,0.3766335224771744,2,1,1,1,1,1,9.5,9.5,9.5,0.3766335224771744
167211,0.21598441584843286,2,3,3,3,3,2,8.166666666666666,8.166666666666666,8.166666666666666,0.21598441584843286
167225,-0.448698219039235,2,3,3,3,3,2,9.05,8.1625,7.933333333333333,-0.448698219039235
167243,0.3945206039198822,2,4,4,4,4,2,9.225,9.225,9.225,0.3945206039198822
167295,0.4575137852347728,2,3,3,3,3,2,9.4,9.4,9.4,0.4575137852347728
167372,0.37137668677765484,2,4,4,3,4,2,9.425,9.425,9.425,0.37137668677765484
167392,0.6458016010142431,2,3,3,3,3,2,9.1,9.1,9.1,0.6458016010142431
167394,0.3768312495028618,2,3,3,3,2,2,9.85,8.316666666666666,8.733333333333333,0.3768312495028618
167395,0.22663002013887976,2,2,2,2,1,2,7.8999999999999995,7.8999999999999995,7.8999999999999995,0.22663002013887976
167437,0.4090374585318721,2,3,3,3,3,2,8.799999999999999,8.799999999999999,8.799999999999999,0.4090374585318721
167507,0.2889370998686984,2,2,2,2,2,2,8.899999999999999,8.899999999999999,8.899999999999999,0.2889370998686984
167510,0.7654177599594832,2,4,4,1,4,2,10.0,10.0,10.0,0.7654177599594832
