CLASSROOM_UNIT_ID,professor_id,subject_variant,subject_name,year,session,n_student_classroom_observations,n_unique_students,n_unique_careers,mean_visits,median_visits,max_visits,mean_raw_grade_numeric,raw_grade_missing_count,raw_grade_non_missing_count,mean_impmean,mean_impkde,raw_grade_missing_prop,classroom_size
23425 | MAT1012 | 2019 | OTOÑO,23425,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,62,62,24,3.032258064516129,1.0,22,7.709433962264152,9,53,7.100806451612903,6.746774193548387,0.14516129032258066,62
23152 | MAT1032 | 2020 | PRIMAVERA,23152,MAT1032,ÁLGEBRA LINEAL,2020,PRIMAVERA,62,62,14,2.7096774193548385,0.0,33,8.751724137931035,4,58,8.478709677419355,8.430645161290323,0.06451612903225806,62
23852 | MAT1022 | 2021 | PRIMAVERA,23852,MAT1022,CÁLCULO I,2021,PRIMAVERA,62,62,22,2.7419354838709675,0.0,28,9.473770491803279,1,61,9.362903225806452,9.362903225806452,0.016129032258064516,62
21779 | MAT1012 | 2023 | OTOÑO,21779,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,OTOÑO,62,62,21,1.7741935483870968,0.0,25,7.7575,22,40,6.839354838709678,6.404838709677419,0.3548387096774194,62
23149 | MAT1012 | 2023 | OTOÑO,23149,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,OTOÑO,62,62,20,0.9516129032258065,0.0,9,7.526470588235294,28,34,5.679838709677419,4.974193548387096,0.45161290322580644,62
22109 | MAT1012 | 2024 | OTOÑO,22109,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,OTOÑO,62,62,22,0.0,0.0,0,8.2,16,46,7.27741935483871,6.440322580645161,0.25806451612903225,62
24085 | MAT1022 | 2024 | PRIMAVERA,24085,MAT1022,CÁLCULO I,2024,PRIMAVERA,62,62,21,2.1451612903225805,1.0,18,9.883870967741935,0,62,9.883870967741935,9.883870967741935,0.0,62
22114 | MAT1022 | 2019 | PRIMAVERA,22114,MAT1022,CÁLCULO I,2019,PRIMAVERA,61,61,23,2.0,0.0,26,8.79245283018868,8,53,8.512412177985949,8.429508196721311,0.13114754098360656,61
22091 | MAT2022 | 2020 | OTOÑO,22091,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2020,OTOÑO,61,61,7,3.1639344262295084,1.0,18,9.605084745762712,2,59,9.605084745762712,9.411475409836067,0.03278688524590164,61
23468 | MAT1012 | 2020 | PRIMAVERA,23468,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,PRIMAVERA,61,61,21,1.1639344262295082,0.0,26,6.8641509433962264,8,53,6.512683347713546,6.439344262295082,0.13114754098360656,61
24097 | MAT1032 | 2021 | PRIMAVERA,24097,MAT1032,ÁLGEBRA LINEAL,2021,PRIMAVERA,61,61,19,1.1967213114754098,0.0,16,9.22456140350877,4,57,9.111475409836064,8.862295081967213,0.06557377049180328,61
23887 | MAT1052 | 2022 | PRIMAVERA,23887,MAT1052,ESTADÍSTICA PARA CIENCIAS SOCIALES,2022,PRIMAVERA,61,61,12,0.7868852459016393,0.0,42,8.378181818181819,6,55,8.061639344262295,7.844262295081967,0.09836065573770492,61
24097 | MAT1012 | 2023 | PRIMAVERA,24097,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,PRIMAVERA,61,61,22,1.3934426229508197,0.0,20,9.056896551724137,3,58,8.980327868852457,8.793442622950819,0.04918032786885246,61
25496 | MAT1012 | 2024 | OTOÑO,25496,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,OTOÑO,61,61,20,0.0,0.0,0,8.690909090909091,6,55,7.836065573770492,7.836065573770492,0.09836065573770492,61
23836 | MAT1022 | 2025 | PRIMAVERA,23836,MAT1022,CÁLCULO I,2025,PRIMAVERA,61,61,18,0.16393442622950818,0.0,6,8.93,1,60,8.844918032786884,8.878688524590164,0.01639344262295082,61
23978 | MAT1022 | 2025 | PRIMAVERA,23978,MAT1022,CÁLCULO I,2025,PRIMAVERA,61,61,17,0.08196721311475409,0.0,2,8.94915254237288,2,59,8.693442622950819,8.693442622950819,0.03278688524590164,61
22473 | MAT1012 | 2019 | OTOÑO,22473,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,60,60,23,3.25,0.0,27,8.645098039215686,9,51,8.280833333333334,8.135,0.15,60
22503 | MAT2022 | 2019 | OTOÑO,22503,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2019,OTOÑO,60,60,8,1.1333333333333333,0.0,10,8.529166666666667,12,48,7.738333333333333,7.641666666666667,0.2,60
23162 | MAT1022 | 2019 | PRIMAVERA,23162,MAT1022,CÁLCULO I,2019,PRIMAVERA,60,60,22,1.0,0.0,13,9.360714285714286,4,56,9.360714285714286,8.983333333333333,0.06666666666666667,60
23218 | MAT1032 | 2019 | PRIMAVERA,23218,MAT1032,ÁLGEBRA LINEAL,2019,PRIMAVERA,60,60,17,1.2,0.0,18,8.356521739130434,14,46,8.005686274509804,7.926666666666667,0.23333333333333334,60
23425 | MAT1032 | 2019 | PRIMAVERA,23425,MAT1032,ÁLGEBRA LINEAL,2019,PRIMAVERA,60,60,17,1.25,0.5,14,9.176271186440678,1,59,9.176271186440678,9.085,0.016666666666666666,60
23835 | MAT1012 | 2019 | OTOÑO,23835,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,60,60,24,1.5,0.0,8,7.566071428571428,4,56,7.38439393939394,7.385000000000001,0.06666666666666667,60
23885 | MAT2012 | 2019 | OTOÑO,23885,MAT2012,CÁLCULO II,2019,OTOÑO,60,60,16,1.3833333333333333,0.0,14,9.052542372881357,1,59,8.901666666666667,8.901666666666667,0.016666666666666666,60
23162 | MAT1022 | 2020 | OTOÑO,23162,MAT1022,CÁLCULO I,2020,OTOÑO,60,60,19,2.25,1.0,21,9.128813559322035,1,59,8.976666666666667,8.976666666666667,0.016666666666666666,60
23425 | MAT1012 | 2020 | OTOÑO,23425,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,60,60,11,0.4666666666666667,0.0,5,9.032075471698112,7,53,8.3575,8.161666666666667,0.11666666666666667,60
23453 | MAT1012 | 2020 | OTOÑO,23453,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,60,60,23,0.55,0.0,5,7.785454545454545,5,55,7.508194444444444,7.658333333333333,0.08333333333333333,60
23836 | MAT1022 | 2020 | PRIMAVERA,23836,MAT1022,CÁLCULO I,2020,PRIMAVERA,60,60,19,2.783333333333333,1.0,27,8.392727272727273,5,55,8.206296296296296,8.12,0.08333333333333333,60
23897 | MAT1022 | 2020 | PRIMAVERA,23897,MAT1022,CÁLCULO I,2020,PRIMAVERA,60,60,19,2.033333333333333,0.0,19,9.433333333333334,0,60,9.433333333333334,9.433333333333334,0.0,60
23874 | MAT1022 | 2021 | PRIMAVERA,23874,MAT1022,CÁLCULO I,2021,PRIMAVERA,60,60,20,1.0166666666666666,0.0,6,9.098148148148148,6,54,8.878333333333334,8.878333333333334,0.1,60
22473 | MAT1012 | 2022 | OTOÑO,22473,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,60,60,21,1.3833333333333333,0.0,20,8.54,10,50,8.147222222222222,7.751666666666667,0.16666666666666666,60
22521 | MAT1012 | 2022 | OTOÑO,22521,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2022,OTOÑO,60,60,28,5.933333333333334,1.0,49,7.3675,20,40,5.741666666666666,5.35,0.3333333333333333,60
16164 | MAT2022 | 2023 | OTOÑO,16164,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2023,OTOÑO,60,60,10,3.95,1.0,37,9.398275862068965,2,58,9.398275862068965,9.208333333333334,0.03333333333333333,60
21262 | MAT1012 | 2023 | OTOÑO,21262,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,OTOÑO,60,60,19,1.3666666666666667,0.0,18,8.204651162790698,17,43,7.5233333333333325,6.078333333333333,0.2833333333333333,60
23153 | MAT1012 | 2023 | OTOÑO,23153,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,OTOÑO,60,60,22,2.1666666666666665,0.0,26,9.001923076923077,8,52,8.596333333333332,8.436666666666666,0.13333333333333333,60
23836 | MAT1012 | 2023 | OTOÑO,23836,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2023,OTOÑO,60,60,17,1.6,0.0,33,8.803571428571429,4,56,8.466666666666667,8.216666666666667,0.06666666666666667,60
24085 | MAT1012 | 2024 | OTOÑO,24085,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,OTOÑO,60,60,19,0.23333333333333334,0.0,11,9.078846153846154,8,52,8.168333333333333,8.168333333333333,0.13333333333333333,60
21192 | MAT1032 | 2025 | PRIMAVERA,21192,MAT1032,ÁLGEBRA LINEAL,2025,PRIMAVERA,60,60,15,0.03333333333333333,0.0,1,9.254237288135593,1,59,9.196111111111112,9.138333333333332,0.016666666666666666,60
24085 | MAT1022 | 2025 | PRIMAVERA,24085,MAT1022,CÁLCULO I,2025,PRIMAVERA,60,60,22,0.15,0.0,4,9.467241379310344,2,58,9.231666666666666,9.231666666666666,0.03333333333333333,60
21852 | MAT2022 | 2019 | OTOÑO,21852,MAT2022,ESTADÍSTICA PARA NEGOCIOS I,2019,OTOÑO,59,59,8,1.4915254237288136,0.0,11,9.161538461538461,7,52,8.62824858757062,8.423728813559322,0.11864406779661017,59
23149 | MAT1032 | 2019 | PRIMAVERA,23149,MAT1032,ÁLGEBRA LINEAL,2019,PRIMAVERA,59,59,18,0.6610169491525424,0.0,8,7.76595744680851,12,47,7.311440677966102,7.179661016949153,0.2033898305084746,59
23411 | MAT1032 | 2019 | PRIMAVERA,23411,MAT1032,ÁLGEBRA LINEAL,2019,PRIMAVERA,59,59,16,1.694915254237288,0.0,35,8.6625,11,48,7.942372881355933,7.91864406779661,0.1864406779661017,59
18269 | MAT1012 | 2021 | OTOÑO,18269,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2021,OTOÑO,59,59,18,2.2711864406779663,0.0,32,8.264583333333333,11,48,7.408474576271185,7.4,0.1864406779661017,59
22446 | MAT1022 | 2022 | PRIMAVERA,22446,MAT1022,CÁLCULO I,2022,PRIMAVERA,59,59,20,0.576271186440678,0.0,8,9.427586206896551,1,58,9.338983050847459,9.338983050847459,0.01694915254237288,59
23852 | MAT1022 | 2025 | PRIMAVERA,23852,MAT1022,CÁLCULO I,2025,PRIMAVERA,59,59,20,0.01694915254237288,0.0,1,8.553448275862069,1,58,8.463983050847459,8.41864406779661,0.01694915254237288,59
24086 | MAT1022 | 2025 | PRIMAVERA,24086,MAT1022,CÁLCULO I,2025,PRIMAVERA,59,59,18,0.13559322033898305,0.0,7,8.757692307692308,7,52,8.386016949152541,8.19322033898305,0.11864406779661017,59
23148 | MAT1012 | 2020 | OTOÑO,23148,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,58,58,17,1.2413793103448276,0.0,16,8.931481481481482,4,54,8.48793103448276,8.315517241379311,0.06896551724137931,58
23152 | MAT1012 | 2020 | OTOÑO,23152,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,58,58,13,0.8793103448275862,0.0,15,8.323214285714286,2,56,8.21551724137931,8.279310344827586,0.034482758620689655,58
24097 | MAT1012 | 2020 | OTOÑO,24097,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2020,OTOÑO,58,58,11,0.7241379310344828,0.0,8,9.36909090909091,3,55,9.272413793103448,9.075862068965517,0.05172413793103448,58
23452 | MAT1032 | 2022 | PRIMAVERA,23452,MAT1032,ÁLGEBRA LINEAL,2022,PRIMAVERA,58,58,17,1.9137931034482758,0.0,23,9.329629629629629,4,54,8.858620689655172,8.858620689655172,0.06896551724137931,58
21779 | MAT1022 | 2024 | PRIMAVERA,21779,MAT1022,CÁLCULO I,2024,PRIMAVERA,58,58,18,3.103448275862069,1.0,25,8.604878048780488,17,41,7.788620689655173,7.562068965517242,0.29310344827586204,58
23434 | MAT1012 | 2024 | OTOÑO,23434,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2024,OTOÑO,58,58,22,0.05172413793103448,0.0,2,6.985714285714285,16,42,5.879310344827586,5.415517241379311,0.27586206896551724,58
23133 | MAT1012 | 2019 | OTOÑO,23133,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,57,57,22,0.631578947368421,0.0,8,8.405454545454546,2,55,8.364912280701754,8.285964912280702,0.03508771929824561,57
23453 | MAT1012 | 2019 | OTOÑO,23453,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,57,57,22,2.1578947368421053,0.0,28,6.35625,25,32,4.634547908232118,4.275438596491228,0.43859649122807015,57
23978 | MAT1012 | 2019 | OTOÑO,23978,MAT1012,MATEMÁTICAS UNIVERSITARIAS,2019,OTOÑO,57,57,21,1.456140350877193,0.0,14,9.1,6,51,8.536842105263158,8.142105263157895,0.10526315789473684,57
23852 | MAT1022 | 2020 | PRIMAVERA,23852,MAT1022,CÁLCULO I,2020,PRIMAVERA,57,57,20,1.3508771929824561,0.0,12,8.481818181818182,2,55,8.308771929824562,8.335087719298246,0.03508771929824561,57
23468 | MAT1032 | 2021 | PRIMAVERA,23468,MAT1032,ÁLGEBRA LINEAL,2021,PRIMAVERA,57,57,18,1.2105263157894737,0.0,14,9.28,2,55,9.203508771929824,9.203508771929824,0.03508771929824561,57
