CLAVEPROFESOR,n_unique_students,n_student_classroom_observations,n_unique_subject_variants,n_unique_years,n_unique_sessions,mean_student_visits,median_student_visits,mean_raw_grade_numeric,mean_impkde_z,n_classroom_units,mean_classroom_size,median_classroom_size,min_classroom_size,max_classroom_size
23799,65,65,3,2,2,1.5384615384615385,0.0,8.79107142857143,1.4774506404627082e-16,3,21.666666666666668,16.0,14,35
25510,65,65,2,1,1,1.3384615384615384,0.0,9.125,-2.092343392562795e-17,2,32.5,32.5,30,35
22474,61,61,2,1,1,1.5573770491803278,0.0,8.618867924528303,-8.736181177378281e-17,2,30.5,30.5,30,31
15282,58,58,2,1,1,1.4482758620689655,1.0,8.262962962962963,-5.3596973602593766e-17,2,29.0,29.0,28,30
12516,56,56,1,2,1,1.1428571428571428,0.0,8.302,4.753142324176451e-16,2,28.0,28.0,26,30
24013,45,45,1,1,1,2.311111111111111,1.0,9.071111111111112,-3.9227880203422196e-16,1,45.0,45.0,45,45
24328,40,40,2,2,2,0.525,0.0,9.478947368421052,4.0523140398818213e-16,2,20.0,20.0,7,33
21226,30,30,1,1,1,2.2,0.0,8.4625,1.2027416100105862e-16,1,30.0,30.0,30,30
21756,30,30,1,1,1,0.13333333333333333,0.0,8.903703703703703,4.2928623618839387e-16,1,30.0,30.0,30,30
22472,30,30,1,1,1,0.7333333333333333,0.0,8.338461538461539,-1.554312234475219e-16,1,30.0,30.0,30,30
26078,26,26,1,1,1,0.0,0.0,8.786363636363637,-1.708035422500241e-17,1,26.0,26.0,26,26
