id,carrera1,carrera2,carrera3
163856,LPT,,
163858,LBI,,
163859,LIN,,
163861,LRI,,
163869,LMK,,
163870,LAT,,
163872,LEC,,
163874,LEF,,
163876,LEC,,
163877,LEF,,
163882,LAD,,
163884,LRI,LPT,
163888,LPM,,
163889,LFA,,
163892,LHR,,
163898,LEF,,
163899,LRI,,
163900,LII,,
163901,LBM,,
163902,LAT,,
163904,LAD,,
163905,LAT,,
163909,LIC,,
163910,LII,,
163911,LFP,,
163913,LEC,,
163915,LMK,,
163916,LEF,,
163920,LBC,,
163921,LRT,,
163922,LIC,,
163924,LAR,,
163926,LEF,,
163927,LEF,,
163929,LII,,
163930,LIS,,
163931,LMT,,
163932,LBM,,
163934,LQI,LIN,
163936,LEC,,
163938,LRI,LRM,
163939,LIC,,
163945,LIC,,
163946,LAD,,
163947,LRI,,
163951,LNI,,
163955,LAD,,
163956,LAD,,
163959,LIV,,
163962,LIS,LRT,
163964,LNI,,
163969,LPM,,
163971,LEF,,
163973,LFP,,
163974,LEF,,
163975,LRP,,
163976,LNI,,
163977,LBN,,
163981,LAT,,
163982,LAR,,
163983,LAT,,
163986,LII,,
163994,LIC,,
163995,LAT,,
163997,LAD,,
164000,LPM,,
164001,LPT,,
164002,LAD,,
164003,LNI,,
164004,LNI,,
164005,LPM,,
164006,LII,,
164009,LBC,,
164016,LIM,LII,
164017,LEF,,
164019,LND,,
164021,LRM,,
164024,LBN,,
164025,LPA,,
164027,LAD,,
164028,LPM,,
164031,LFA,,
164034,LPA,,
164043,LFA,,
164046,LPM,,
164050,LII,,
164052,LMK,,
164056,LPO,,
164057,LPT,LRI,
164060,LCU,,
164063,LPA,,
164064,LNI,,
164065,LPT,LRI,
164067,LIM,,
164068,LBC,,
164069,LNM,,
164070,LBN,,
164073,LEC,,
164074,LBC,,
164080,LEC,,
164081,LAR,,
164083,LAR,,
164085,LNI,,
164086,LBC,,
164087,LBN,,
164089,LNI,,
164092,LFA,,
164094,LIS,,
164095,LNI,,
164098,LMT,,
164099,LBN,,
164101,LAR,,
164103,LFP,,
164105,LBI,,
164106,LRT,,
164107,LFP,,
164109,LAD,,
164110,LNM,LFA,
164111,LQI,,
164112,LIM,,
164113,LBN,,
164114,LII,,
164115,LPT,,
164116,LND,,
164117,LND,,
164118,LMT,,
164119,LRT,,
164120,LAR,LAD,
164122,LIM,,
164123,LPA,,
164124,LBI,,
164125,LBM,,
164126,LHR,,
164127,LNI,,
164128,LII,,
164129,LRT,,
164130,LBI,,
164131,LEC,,
164133,LII,,
164134,LBC,,
164139,LII,,
164141,LEC,,
164142,LRP,,
164143,LEF,,
164145,LCS,,
164146,LPM,,
164147,BRI,,
164152,LFP,,
164154,LBM,,
164155,LRI,,
164157,LPA,,
164160,LII,,
164162,LAT,,
164165,LII,,
164167,LEC,,
